x=2832148, y=322979:x=3015667, y=-141020
x=1449180, y=3883502:x=2656952, y=41889712988377
x=2808169, y=1194666:x=3015667, y=-141020
x=1863363, y=2435968:x=2166084, y=2883057
x=3558230, y=2190936:x=3244164, y=2592191
x=711491, y=2444705:x=617239, y=2988377
x=2727148, y=2766272:x=2166084, y=2883057
x=2857938, y=3988086:x=2968511, y=4098658
x=1242410, y=2270153:x=214592, y=2000000
x=3171784, y=2523127:x=3244164, y=2592191
x=2293378, y=71434:x=3015667, y=-141020
x=399711, y=73420:x=1152251, y=-158441
x=3677529, y=415283:x=3015667, y=-141020
x=207809, y=2348497:x=214592, y=2000000
x=60607, y=3403420:x=617239, y=2988377
x=3767729, y=3136725:x=4171278, y=3348370
x=3899632, y=3998969:x=4171278, y=3348370
x=394783, y=1541278:x=214592, y=2000000
x=1193642, y=642631:x=1152251, y=-158441
x=122867, y=2661904:x=214592, y=2000000
x=551012, y=3787568:x=617239, y=2988377
x=3175715, y=2975144:x=3244164, y=2592191
x=402217, y=2812449:x=617239, y=2988377
x=879648, y=1177329:x=214592, y=2000000
x=1317218, y=2978309:x=617239, y=2988377
x=3965126, y=1743931:x=3244164, y=2592191
x=2304348, y=3140055:x=2166084, y=2883057
x=3380135, y=3650709:x=2968511, y=4098658
x=49224, y=1914296:x=214592, y=2000000
x=3096228, y=2457233:x=3244164, y=2592191
x=1415660, y=6715:x=1152251, y=-158441
x=2616280, y=3548378:x=2656952, y=4188971
